Soru_MetniOCR,Alt_Konu,Zorluk,Gorsel_Tipi,Kaynak_Tipi,sample_weight
Alanları 72 ve 60 cm² olan dikdörtgenler birleştiriliyor kenarlar aralarında asal ise çevre en az kaçtır,aralarinda_asal,3,geometrik_sekil,ornek,0.8
İki kutudaki toplar yer değiştiriliyor çarpımları K ve L aralarında asal ise K+L en az kaçtır,aralarinda_asal,4,sematik,ornek,0.8
9 karelik tabloda komşu karelerle aralarında asal sayılar yerleştirilerek mor karelerdeki sayıların toplamı bulunuyor,aralarinda_asal,4,sematik,ornek,0.8
9 karelik tabloda komşu karelerle aralarında asal sayılarla kırmızı karenin değeri hesaplanıyor,aralarinda_asal,4,sematik,ornek,0.8
Dolap raflarındaki klasör numaraları aralarında asal ve iki asal çarpanlı fark en çok kaç olabilir,aralarinda_asal,3,resimli,ornek,0.8
Yayların uzama miktarları aralarında asal II. yayın son uzunluğu ne olabilir,aralarinda_asal,3,resimli,ornek,0.8
Video oynatıcıda izlenen ve kalan sürelerin dakika/saniye kısımları aralarında asal olacak anı bulma,aralarinda_asal,3,resimli,ornek,0.8
Şifreli kilitte rakamlar çevrilerek aralarında asal iki basamaklı sayılarla şifre oluşturuluyor,aralarinda_asal,3,resimli,ornek,0.8
Karelere 3 5 7 9 11 sayıları yazılıyor bağlı kareler aralarında asal boyalı kareye gelebilecek toplam,aralarinda_asal,3,sematik,ornek,0.8
6A ve B8 iki basamaklı sayıları için aralarında asallık şartlarını sağlayan A+B değerleri kaç tanedir,aralarinda_asal,2,yok,ornek,0.8
A ve B cisimleri teraziye konuyor toplam kütle 2.. gram ise A cisminin kütlesi kaçtır,ebob_ekok,4,resimli,cikmis,1.0
4g ve 28g bilyeler torbalara eşit kütlede dağıtılıyor toplam bilye sayısı en az kaçtır,ebob_ekok,4,sematik,cikmis,1.0
Efe ve Kuzey bilyelerini 3 ve 4 torbaya eşit dağıtıyor değişim sonrası en az bilye sayısı,ebob_ekok,4,sematik,cikmis,1.0
İki un çuvalına (46kg 12kg) un eklenince miktarlar aralarında asal oluyor eklenen miktarlar hangisidir,aralarinda_asal,3,resimli,cikmis,1.0
40 sayısının çarpanları gruplanıyor grupların toplamı eşit ise B grubundaki en küçük sayı kaçtır,carpanlar,3,tablo,cikmis,1.0
Zeynep ve Kuzey'in kalem çarpanları ağaç şemasıyla verilmiş kalan kalem sayısı soruluyor,carpanlar,3,sematik,cikmis,1.0
Dikdörtgen kâğıt bölgelere ayrılmış (35 44 21 cm² vb.) tüm alan ne olabilir,ebob_ekok,4,geometrik_sekil,cikmis,1.0
Dairelere sayılar yazılıyor köşelerdeki çarpım ortadaki sayıya eşit ve aralarında asal A+B en az kaçtır,aralarinda_asal,4,geometrik_sekil,cikmis,1.0
k 3k 5k 7k yüksekliğindeki kutularla kule yapılıyor en üstteki alınınca yükseklik hangisi olamaz,ebob_ekok,5,sematik,cikmis,1.0
30 TL ve 50 TL'lik kedi mamalarından eşit paket bağışlanıyor toplam harcama soruluyor,ebob_ekok,3,sematik,cikmis,1.0
40 kg'dan az çuvallar kantarda 720 kg geliyor ekleme yapılınca 1344 kg oluyor eklenen çuval sayısı,ebob_ekok,4,resimli,cikmis,1.0
3g ve 5g boncuklardan kolye yapılıyor toplam kütle 230g'dan az ise boncuk farkı en fazla kaçtır,ebob_ekok,3,yok,cikmis,1.0
Alanları verilen kartonlar (35 77 110) 3 cm üst üste yapıştırılıyor yeni alan en fazla kaç olur,ebob_ekok,5,geometrik_sekil,cikmis,1.0
Kat planında alanlar verilmiş verilmeyen alanların toplamı en az kaç metrekaredir,ebob_ekok,5,geometrik_sekil,cikmis,1.0
